player,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Mohamed Kanno,MF,Saudi Arabia,28-076,1994,3.0,0,0,0,8,3,1,0,2,2,0,0,0,19,8,9,47.1
Mohammed Al-Breik,DF,Saudi Arabia,30-083,1992,0.7,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4,20.0
Mohammed Al-Owais,GK,Saudi Arabia,31-058,1991,3.0,1,0,0,0,3,0,0,0,0,0,0,0,5,2,0,100.0
Mohammed Muntari,FW,Qatar,28-352,1993,0.7,0,0,0,1,2,0,0,0,2,0,0,0,4,3,1,75.0
Mohammed Salisu,DF,Ghana,23-234,1999,3.0,0,0,0,6,1,0,0,3,1,0,1,0,15,8,8,50.0
Mohammed Waad,MF,Qatar,23-080,1999,0.3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,
Moisés Caicedo,MF,Ecuador,21-035,2001,3.0,1,0,0,4,5,0,0,2,5,0,0,0,14,1,1,50.0
Montassar Talbi,DF,Tunisia,24-195,1998,3.0,0,0,0,4,2,0,0,2,2,0,0,0,16,8,9,47.1
Morteza Pouraliganji,DF,IR Iran,30-232,1992,3.0,1,0,0,5,1,0,2,6,2,1,0,0,16,9,6,60.0
Moumi Ngamaleu,FW,Cameroon,28-151,1994,1.1,0,0,0,3,5,0,1,0,1,0,0,0,5,0,2,0.0
Munir,GK,Morocco,33-211,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Musab Kheder,DF,Qatar,29-072,1993,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Na Sang-ho,FW,Korea Republic,26-117,1996,1.3,0,0,0,2,0,0,8,0,1,0,0,0,5,3,3,50.0
Nader Ghandri,DF,Tunisia,27-292,1995,1.0,0,0,0,0,1,1,0,1,2,0,0,0,2,2,1,66.7
Nahuel Molina,DF,Argentina,24-245,1998,3.2,0,0,0,2,0,0,2,1,1,0,0,0,8,0,2,0.0
Nampalys Mendy,MF,Senegal,30-167,1992,3.0,1,0,0,5,2,0,2,3,4,0,0,0,18,0,1,0.0
Nasser Al-Dawsari,FW,Saudi Arabia,23-353,1998,0.1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,
Nathan Aké,DF,Netherlands,27-292,1995,4.0,1,0,0,3,3,0,0,3,2,0,0,0,15,9,12,42.9
Nathaniel Atkinson,DF,Australia,23-177,1999,0.9,0,0,0,0,0,0,0,1,3,0,0,0,6,0,0,
Nawaf Al Abed,MF,Saudi Arabia,32-315,1990,1.0,1,0,0,2,2,0,2,1,0,0,0,0,2,0,1,0.0
Nayef Aguerd,DF,Morocco,26-252,1996,3.9,0,0,0,2,0,1,0,4,2,0,0,1,18,5,2,71.4
Naïm Sliti,MF,Tunisia,30-133,1992,1.3,0,0,0,0,3,2,13,0,1,0,0,0,8,1,1,50.0
Neco Williams,DF,Wales,21-238,2001,2.3,0,0,0,3,5,0,5,4,3,0,0,0,16,2,1,66.7
Nemanja Gudelj,MF,Serbia,31-021,1991,1.0,2,0,0,3,0,0,0,2,2,0,0,0,6,1,1,50.0
Nemanja Maksimović,MF,Serbia,27-315,1995,1.4,0,0,0,0,1,0,2,3,2,0,0,0,6,0,3,0.0
Nemanja Radonjić,DF,Serbia,26-295,1996,0.7,0,0,0,0,2,0,6,0,0,0,0,0,6,0,1,0.0
Neymar,MF,Brazil,30-305,1992,1.8,0,0,0,1,12,0,4,0,0,0,0,0,4,0,1,0.0
Niclas Füllkrug,FW,Germany,29-301,1993,0.8,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,44.4
Nico Elvedi,DF,Switzerland,26-068,1996,2.0,1,0,0,3,1,0,0,1,0,0,0,0,15,2,3,40.0
Nico Schlotterbeck,DF,Germany,23-006,1999,1.0,0,0,0,1,1,0,0,1,3,0,0,0,10,2,0,100.0
Nico Williams,FW,Spain,20-148,2002,1.6,0,0,0,0,1,1,6,0,2,0,0,0,7,1,2,33.3
Nicola Zalewski,MF,Poland,20-318,2002,0.7,0,0,0,1,2,0,1,0,0,0,0,0,5,0,1,0.0
Nicolas Jackson,FW,Senegal,21-170,2001,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0.0
Nicolas Nkoulou,DF,Cameroon,32-255,1990,2.0,1,0,0,2,2,0,0,5,0,0,0,0,11,2,4,33.3
Nicolás De La Cruz,MF,Uruguay,25-189,1997,0.4,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0.0
Nicolás Otamendi,DF,Argentina,34-298,1988,4.0,0,0,0,6,4,1,0,6,5,0,0,0,19,16,7,69.6
Nicolás Tagliafico,DF,Argentina,30-098,1992,1.3,0,0,0,0,3,1,0,1,2,0,0,0,5,2,1,66.7
Niklas Süle,DF,Germany,27-095,1995,3.0,0,0,0,0,2,0,1,0,4,0,0,0,17,6,3,66.7
Nikola Milenković,DF,Serbia,25-056,1997,3.0,2,0,0,8,2,0,1,6,5,0,0,0,18,6,2,75.0
Nikola Vlašić,FW,Croatia,25-064,1997,0.9,0,0,0,1,1,0,1,0,0,0,0,0,1,2,3,40.0
Noah Okafor,FW,Switzerland,22-197,2000,0.5,0,0,0,2,1,1,0,0,0,0,0,0,4,0,0,
Nouhou Tolo,DF,Cameroon,25-167,1997,3.0,1,0,0,3,1,0,7,6,5,0,0,0,17,4,3,57.1
Noussair Mazraoui,DF,Morocco,25-023,1997,3.6,0,0,0,3,1,0,2,1,8,0,0,0,17,1,2,33.3
Nuno Mendes,DF,Portugal,20-171,2002,0.5,0,0,0,0,2,0,2,2,0,0,0,0,2,1,0,100.0
Néstor Araujo,DF,Mexico,31-100,1991,1.0,1,0,0,2,0,0,2,3,1,0,0,0,6,0,0,
Olivier Giroud,FW,France,36-068,1986,2.5,0,0,0,1,2,1,0,0,0,0,0,0,6,5,5,50.0
Olivier Ntcham,MF,Cameroon,26-301,1996,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Orbelín Pineda,MF,Mexico,26-258,1996,0.8,0,0,0,2,4,0,0,0,3,0,0,0,4,0,2,0.0
Osman Bukari,MF,Ghana,23-359,1998,0.7,0,0,0,1,1,0,1,1,0,0,0,0,2,1,2,33.3
Otávio,MF,Portugal,27-301,1995,1.4,0,0,0,6,6,0,4,0,3,0,0,0,11,0,0,
Ousmane Dembélé,FW,France,25-206,1997,2.6,0,0,0,2,3,2,13,1,3,0,0,0,15,1,1,50.0
Pablo Sarabia,FW,Spain,30-210,1992,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Paik Seung-ho,MF,Korea Republic,25-265,1997,0.3,0,0,0,1,0,0,0,0,2,0,0,0,4,1,0,100.0
Pape Abou Cissé,DF,Senegal,27-084,1995,1.2,0,0,0,1,0,0,0,2,0,0,0,0,2,2,3,40.0
Pape Gueye,MF,Senegal,23-317,1999,1.7,0,0,0,3,3,0,1,2,2,0,0,0,5,5,3,62.5
Pape Matar Sarr,MF,Senegal,20-084,2002,0.7,0,0,0,0,1,0,5,0,2,0,0,0,3,1,0,100.0
Papu Gómez,MF,Argentina,34-295,1988,1.2,0,0,0,1,5,1,1,1,0,0,0,0,6,1,0,100.0
Pathé Ciss,MF,Senegal,28-266,1994,1.6,1,0,0,4,0,0,0,2,3,0,0,0,10,5,0,100.0
Pau Torres,DF,Spain,25-325,1997,1.0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,50.0
Pedri,MF,Spain,20-012,2002,4.0,0,0,0,2,3,0,2,4,2,0,0,0,27,2,0,100.0
Pedro,FW,Brazil,25-170,1997,0.3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
Pepe,DF,Portugal,39-284,1983,3.0,0,0,0,2,4,1,1,5,0,0,0,0,23,5,4,55.6
Pervis Estupiñán,DF,Ecuador,24-320,1998,3.0,0,0,0,8,3,2,19,3,3,0,0,0,21,3,3,50.0
Phil Foden,FW,England,22-193,2000,1.9,0,0,0,2,1,0,9,0,1,0,0,0,7,1,3,25.0
Piero Hincapié,DF,Ecuador,20-332,2002,3.0,0,0,0,5,1,0,1,2,4,0,1,0,13,5,3,62.5
Pierre Højbjerg,MF,Denmark,27-124,1995,3.0,0,0,0,0,1,0,1,3,2,0,0,0,26,1,0,100.0
Pierre Kunde,MF,Cameroon,27-134,1995,1.5,1,0,0,3,1,0,4,4,2,0,0,0,13,1,0,100.0
Piotr Zieliński,MF,Poland,28-201,1994,3.6,0,0,0,4,2,0,16,1,5,0,0,0,17,0,2,0.0
Przemysław Frankowski,MF,Poland,27-239,1995,2.7,1,0,0,1,5,0,8,3,4,0,0,0,12,1,1,50.0
Rafael Leão,FW,Portugal,23-180,1999,0.7,0,0,0,3,0,0,2,1,0,0,0,0,5,1,0,100.0
Raheem Sterling,FW,England,27-364,1994,1.5,0,0,0,0,2,1,0,1,0,0,0,0,5,1,1,50.0
Ramin Rezaeian,DF,IR Iran,32-261,1990,2.0,1,0,0,2,3,0,11,3,5,0,0,0,22,1,6,14.3
Randal Kolo Muani,FW,France,24-002,1998,1.0,0,0,0,1,1,0,0,1,3,0,0,0,1,4,4,50.0
Raphaël Guerreiro,DF,Portugal,28-350,1993,2.5,0,0,0,2,1,0,9,3,2,0,0,0,16,2,1,66.7
Raphaël Varane,DF,France,29-226,1993,2.5,0,0,0,1,0,0,1,4,0,0,0,0,9,2,4,33.3
Raphinha,FW,Brazil,25-358,1996,2.9,0,0,0,2,2,0,21,3,6,0,0,0,7,0,6,0.0
Rasmus Nissen,DF,Denmark,25-149,1997,2.5,1,0,0,2,1,0,7,1,7,0,0,0,15,3,1,75.0
Raúl Jiménez,FW,Mexico,31-216,1991,0.7,0,0,0,1,1,0,2,1,0,0,0,0,2,3,0,100.0
Remo Freuler,MF,Switzerland,30-236,1992,3.6,0,0,0,6,2,0,0,3,5,0,0,0,19,1,4,20.0
Renato Steffen,FW,Switzerland,31-034,1991,0.4,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0.0
Ricardo Horta,FW,Portugal,28-083,1994,1.2,0,0,0,2,1,0,4,1,1,0,0,0,5,0,1,0.0
Ricardo Rodríguez,DF,Switzerland,30-104,1992,4.0,0,0,0,6,2,0,12,0,2,0,0,0,16,10,2,83.3
Richarlison,FW,Brazil,25-211,1997,2.7,0,0,0,3,5,1,1,1,1,1,0,0,12,3,8,27.3
Richie Laryea,DF,Canada,27-334,1995,1.8,0,0,0,1,2,2,1,0,1,0,0,0,11,0,1,0.0
Riley McGree,FW,Australia,24-035,1998,2.9,0,0,0,9,2,0,5,5,1,0,0,0,11,1,2,33.3
Ritsu Doan,FW,Japan,24-174,1998,2.4,0,0,0,3,4,0,9,3,5,0,0,0,11,1,4,20.0
Riyadh Sharahili,MF,Saudi Arabia,29-223,1993,0.6,0,0,0,4,0,0,0,2,0,0,0,0,3,1,1,50.0
Roan Wilson,MF,Costa Rica,20-220,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Robert Lewandowski,FW,Poland,34-108,1988,4.0,0,0,0,6,9,0,3,1,2,1,0,0,14,16,17,48.5
Robert Skov,DF,Denmark,26-201,1996,0.2,1,0,0,1,0,0,5,0,0,0,0,0,2,0,1,0.0
Roberto Alvarado,FW,Mexico,24-091,1998,0.2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,100.0
Rodri,DF,Spain,26-168,1996,4.3,0,0,0,5,1,0,2,3,2,0,0,0,35,16,5,76.2
Rodrigo Bentancur,MF,Uruguay,25-165,1997,2.4,1,0,0,5,3,0,2,7,8,0,0,0,35,6,3,66.7
Rodrigo De Paul,MF,Argentina,28-197,1994,4.0,0,0,0,3,6,0,8,6,4,0,0,0,29,1,2,33.3
Rodrygo,MF,Brazil,21-332,2001,1.4,0,0,0,0,3,1,5,2,1,0,0,0,5,0,2,0.0
Rogelio Funes Mori,FW,Mexico,31-277,1991,0.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
Romain Saïss,DF,Morocco,32-256,1990,4.3,1,0,0,4,0,2,1,3,2,0,0,0,27,5,0,100.0
Romario Ibarra,MF,Ecuador,28-074,1994,0.8,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0
Romelu Lukaku,FW,Belgium,29-208,1993,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Roozbeh Cheshmi,DF,IR Iran,29-136,1993,0.6,0,0,0,1,0,0,0,2,0,0,0,0,4,1,2,33.3
Ruben Vargas,FW,Switzerland,24-124,1998,3.2,1,0,0,4,2,1,15,1,0,0,0,0,11,3,6,33.3
Rubin Colwill,MF,Wales,20-224,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ró-Ró,DF,Qatar,32-123,1990,2.9,0,0,0,4,5,0,3,8,4,0,0,0,14,3,2,60.0
Rónald Matarrita,DF,Costa Rica,28-151,1994,0.3,0,0,0,1,1,0,3,0,0,0,0,0,4,0,0,
Rúben Dias,DF,Portugal,25-207,1997,3.0,1,0,0,3,2,0,0,1,2,0,0,0,12,4,2,66.7
Rúben Neves,MF,Portugal,25-269,1997,2.4,1,0,0,3,2,0,2,1,1,0,0,0,11,2,3,40.0
Saad Al Sheeb,GK,Qatar,32-291,1990,1.0,1,0,0,1,1,0,0,0,0,0,1,0,3,1,0,100.0
Sadegh Moharrami,DF,IR Iran,26-281,1996,1.0,0,0,0,2,0,0,3,1,1,0,0,0,6,1,2,33.3
Saeid Ezatolahi,MF,IR Iran,26-067,1996,2.4,0,0,0,2,5,0,4,2,1,0,0,0,17,6,4,60.0
Saleh Al-Shehri,FW,Saudi Arabia,29-036,1993,2.5,1,0,0,6,5,0,1,0,1,1,0,0,7,6,7,46.2
Salem Al-Dawsari,MF,Saudi Arabia,31-110,1991,3.0,1,0,0,3,3,0,3,1,4,0,0,0,16,1,1,50.0
Salis Abdul Samed,MF,Ghana,22-256,2000,2.8,0,0,0,5,2,0,2,4,2,0,0,0,15,0,3,0.0
Salman Al-Faraj,MF,Saudi Arabia,33-128,1989,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Sam Adekugbe,DF,Canada,27-325,1995,1.1,1,0,0,1,0,0,5,1,0,0,0,0,3,2,0,100.0
Saman Ghoddos,MF,IR Iran,29-092,1993,0.5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0.0
Sami Al-Najei,MF,Saudi Arabia,25-303,1997,0.5,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0.0
Samuel Oum Gouet,MF,Cameroon,24-359,1997,1.1,0,0,0,0,1,0,1,0,1,0,0,0,10,1,0,100.0
Sardar Azmoun,FW,IR Iran,27-340,1995,1.4,0,0,0,1,1,1,0,0,0,0,0,0,3,4,5,44.4
Saud Abdulhamid,DF,Saudi Arabia,23-142,1999,3.0,1,0,0,7,5,0,9,2,2,0,1,0,14,4,6,40.0
Saša Lukić,MF,Serbia,26-116,1996,2.7,1,0,0,7,1,0,1,1,0,0,0,0,19,3,3,50.0
Sebastian Szymański,MF,Poland,23-211,1999,1.5,0,0,0,1,3,0,3,2,3,0,0,0,6,1,5,16.7
Sebastián Coates,DF,Uruguay,32-061,1990,2.0,1,0,0,2,0,0,0,1,0,0,0,0,9,7,0,100.0
Selim Amallah,MF,Morocco,26-022,1996,2.9,0,0,0,6,5,0,1,5,4,0,0,0,7,1,5,16.7
Serge Gnabry,FW,Germany,27-146,1995,2.9,0,0,0,2,2,3,7,2,2,0,0,0,11,0,2,0.0
Sergej Milinković-Savić,MF,Serbia,27-283,1995,2.6,1,0,0,2,4,0,1,2,1,0,0,0,18,3,3,50.0
Sergio Busquets,MF,Spain,34-144,1988,4.0,1,0,0,3,3,0,0,1,4,0,0,0,28,8,5,61.5
Sergio Rochet,GK,Uruguay,29-259,1993,3.0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,100.0
Sergiño Dest,DF,United States,22-034,2000,3.4,1,0,0,4,2,0,9,2,2,0,0,0,13,1,3,25.0
Shaquell Moore,DF,United States,26-035,1996,0.2,0,0,0,3,0,0,0,0,2,0,0,0,2,1,0,100.0
Shogo Taniguchi,DF,Japan,31-145,1991,2.3,1,0,0,3,0,0,0,1,0,0,0,0,8,8,3,72.7
Shūichi Gonda,GK,Japan,33-279,1989,4.3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,100.0
Silvan Widmer,DF,Switzerland,29-277,1993,2.9,1,0,0,4,2,0,2,2,6,0,0,0,13,3,1,75.0
Simon Kjær,DF,Denmark,33-256,1989,0.7,0,0,0,0,0,0,0,5,0,0,0,0,6,3,1,75.0
Sofiane Boufal,FW,Morocco,29-081,1993,3.0,0,0,0,7,10,2,5,2,4,0,0,0,13,1,4,20.0
Sofyan Amrabat,MF,Morocco,26-108,1996,4.3,1,0,0,8,5,1,0,6,8,0,0,0,33,0,1,0.0
Son Heung-min,FW,Korea Republic,30-152,1992,4.0,0,0,0,1,6,2,21,2,2,0,0,0,16,0,2,0.0
Son Jun-ho,MF,Korea Republic,30-209,1992,0.8,0,0,0,5,0,0,0,3,3,0,0,0,9,0,1,0.0
Sorba Thomas,MF,Wales,23-107,1999,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Srđan Babić,DF,Serbia,26-229,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Stefan Mitrović,DF,Serbia,32-199,1990,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Stephen Eustáquio,MF,Canada,25-351,1996,1.4,0,0,0,1,1,0,1,2,2,0,0,0,10,1,1,50.0
Steve Mandanda,GK,France,37-254,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Steven Berghuis,MF,Netherlands,30-353,1991,1.4,0,0,0,1,0,0,3,0,1,0,0,0,6,1,2,33.3
Steven Bergwijn,FW,Netherlands,25-060,1997,1.9,0,0,0,2,3,0,0,0,1,0,0,0,2,0,0,
Steven Vitória,DF,Canada,35-330,1987,3.0,1,0,0,6,5,0,0,0,3,0,0,0,18,4,2,66.7
Strahinja Pavlović,DF,Serbia,21-197,2001,2.6,2,0,0,6,4,0,1,1,2,0,0,0,18,12,2,85.7
Sultan Al-Ghanam,DF,Saudi Arabia,28-215,1994,1.4,0,0,0,2,0,1,7,2,0,0,0,0,4,0,0,
Taha Yassine Khenissi,FW,Tunisia,30-335,1992,0.3,1,0,0,3,1,0,0,0,0,0,0,0,0,1,2,33.3
Tajon Buchanan,MF,Canada,23-302,1999,2.9,1,0,0,6,6,2,8,3,1,0,0,0,14,1,2,33.3
Takefusa Kubo,FW,Japan,21-186,2001,1.0,0,0,0,2,2,1,0,0,1,0,0,0,4,1,1,50.0
Takehiro Tomiyasu,DF,Japan,24-032,1998,2.1,0,0,0,1,0,0,0,0,0,0,0,0,12,6,4,60.0
Takuma Asano,FW,Japan,28-027,1994,1.8,0,0,0,4,0,2,1,1,0,0,0,0,8,1,9,10.0
Takumi Minamino,FW,Japan,27-325,1995,0.7,0,0,0,1,0,0,3,0,1,0,0,0,4,0,2,0.0
Tarek Salman,DF,Qatar,25-002,1997,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
Tariq Lamptey,DF,Ghana,22-068,2000,1.1,1,0,0,3,2,0,3,1,1,0,0,0,8,0,1,0.0
Teun Koopmeiners,MF,Netherlands,24-282,1998,1.6,1,0,0,5,1,0,2,4,4,0,0,0,9,4,2,66.7
Theo Hernández,DF,France,25-062,1997,2.9,0,0,0,2,6,0,9,2,5,0,0,0,11,5,2,71.4
Thiago Almada,MF,Argentina,21-225,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thiago Silva,DF,Brazil,38-076,1984,3.0,0,0,0,2,2,0,0,3,0,0,0,0,11,4,2,66.7
Thibaut Courtois,GK,Belgium,30-210,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Thilo Kehrer,DF,Germany,26-077,1996,0.8,1,0,0,3,0,0,0,3,2,0,0,0,3,0,0,
Thomas Delaney,MF,Denmark,31-095,1991,0.5,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,66.7
Thomas Meunier,DF,Belgium,31-086,1991,2.3,1,0,0,4,1,0,6,2,6,0,0,0,13,2,3,40.0
Thomas Müller,FW,Germany,33-085,1989,2.2,0,0,0,0,1,2,5,1,2,0,0,0,1,1,7,12.5
Thomas Partey,MF,Ghana,29-177,1993,3.0,0,0,0,3,2,0,1,0,5,0,0,0,21,6,3,66.7
Thorgan Hazard,FW,Belgium,29-253,1993,1.2,0,0,0,2,2,1,9,0,2,0,0,0,6,0,3,0.0
Tim Ream,DF,United States,35-063,1987,4.0,1,0,0,1,2,0,0,4,3,0,0,0,19,6,8,42.9
Timothy Castagne,DF,Belgium,27-002,1995,3.0,0,0,0,3,1,0,3,2,4,0,0,0,9,2,3,40.0
Timothy Weah,FW,United States,22-288,2000,3.5,0,0,0,1,1,2,8,0,0,0,0,0,10,2,3,40.0
Toby Alderweireld,DF,Belgium,33-280,1989,3.0,0,0,0,0,0,0,2,0,2,0,0,0,9,1,2,33.3
Trent Alexander-Arnold,DF,England,24-061,1998,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Tyler Adams,MF,United States,23-296,1999,4.0,1,0,0,5,5,0,2,4,9,0,0,0,33,5,2,71.4
Unai Simón,GK,Spain,25-179,1997,4.3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,100.0
Uriel Antuna,FW,Mexico,25-108,1997,0.9,0,0,0,0,1,2,7,0,3,0,0,0,1,0,2,0.0
Vanja Milinković-Savić,GK,Serbia,25-290,1997,3.0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,100.0
Victor Nelsson,DF,Denmark,24-054,1998,1.0,0,0,0,0,2,0,0,2,0,0,0,0,3,4,3,57.1
Vincent Aboubakar,FW,Cameroon,30-319,1992,1.6,2,1,1,3,2,0,0,0,0,0,0,0,3,2,3,40.0
Vincent Janssen,FW,Netherlands,28-175,1994,1.0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,50.0
Vinicius Júnior,FW,Brazil,22-148,2000,2.6,0,0,0,0,6,2,9,0,1,0,0,0,11,0,0,
Virgil van Dijk,DF,Netherlands,31-152,1991,4.0,0,0,0,3,2,0,0,3,1,0,0,0,22,11,7,61.1
Vitinha,MF,Portugal,22-297,2000,1.1,0,0,0,0,1,0,1,1,2,0,0,0,3,0,1,0.0
Wahbi Khazri,FW,Tunisia,31-302,1991,0.9,0,0,0,1,2,2,2,0,0,0,0,0,5,0,0,
Wajdi Kechrida,DF,Tunisia,27-032,1995,1.2,1,0,0,2,0,0,5,0,3,0,0,0,6,1,2,33.3
Walid Cheddira,FW,Morocco,24-319,1998,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,66.7
Walker Zimmerman,DF,United States,29-202,1993,3.1,0,0,0,3,0,0,0,4,2,0,1,0,17,8,5,61.5
Wataru Endo,MF,Japan,29-301,1993,3.4,1,0,0,7,9,0,2,3,4,0,0,0,22,8,8,50.0
Wayne Hennessey,GK,Wales,35-317,1987,1.9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Weston McKennie,MF,United States,24-101,1998,3.0,1,0,0,6,2,0,1,0,1,0,0,0,14,3,3,50.0
William Carvalho,MF,Portugal,30-244,1992,2.4,0,0,0,3,2,0,0,0,5,0,0,0,15,4,0,100.0
William Saliba,DF,France,21-258,2001,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Wojciech Szczęsny,GK,Poland,32-233,1990,4.0,0,0,0,1,1,0,0,0,0,0,1,0,4,2,0,100.0
Wout Weghorst,FW,Netherlands,30-122,1992,0.2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0.0
Wéverton,GK,Brazil,34-359,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Xavi Simons,FW,Netherlands,19-230,2003,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
Xherdan Shaqiri,FW,Switzerland,31-058,1991,2.5,0,0,0,2,6,0,15,0,0,0,0,0,6,1,4,20.0
Yahya Attiat Allah,DF,Morocco,27-280,1995,1.0,0,0,0,2,1,0,1,0,1,0,0,0,7,0,1,0.0
Yahya Jabrane,MF,Morocco,31-172,1991,0.1,0,0,0,0,0,0,0,0,0,,,0,,,,
Yann Sommer,GK,Switzerland,33-355,1988,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0.0
Yannick Carrasco,FW,Belgium,29-094,1993,1.3,1,0,0,1,2,0,2,1,4,0,1,0,8,0,0,
Yasser Al-Shahrani,DF,Saudi Arabia,30-196,1992,1.0,0,0,0,1,0,0,1,6,1,0,0,0,5,0,0,
Yassine Bounou,GK,Morocco,31-246,1991,3.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Yassine Meriah,DF,Tunisia,29-158,1993,3.0,0,0,0,3,1,0,2,1,2,0,0,0,16,5,6,45.5
Yeltsin Tejeda,MF,Costa Rica,30-265,1992,3.0,0,0,0,0,2,0,0,1,2,0,0,0,14,4,2,66.7
Youri Tielemans,MF,Belgium,25-214,1997,1.1,0,0,0,2,1,0,1,2,1,0,0,0,9,2,1,66.7
Youssef En-Nesyri,FW,Morocco,25-189,1997,3.6,0,0,0,1,3,3,0,0,1,0,0,0,11,13,12,52.0
Youssef Msakni,MF,Tunisia,32-040,1990,1.9,0,0,0,0,4,0,2,0,1,0,0,0,9,3,6,33.3
Youssouf Fofana,MF,France,23-331,1999,1.2,0,0,0,1,0,0,0,1,2,0,0,0,10,0,0,
Youssouf Sabaly,DF,Senegal,29-277,1993,4.0,0,0,0,3,12,0,7,4,6,0,0,0,27,4,3,57.1
Youssoufa Moukoko,FW,Germany,18-017,2004,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Youstin Salas,DF,Costa Rica,26-173,1996,0.5,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,100.0
Yuki Soma,FW,Japan,25-285,1997,0.9,0,0,0,2,3,0,6,0,0,0,0,0,2,0,0,
Yunus Musah,MF,United States,20-008,2002,3.8,0,0,0,9,3,0,8,2,6,0,0,0,23,3,3,50.0
Yuto Nagatomo,MF,Japan,36-086,1986,2.3,0,0,0,6,0,0,6,0,2,0,0,0,11,1,2,33.3
Zakaria Aboukhlal,MF,Morocco,22-292,2000,0.5,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,
Álvaro Morata,FW,Spain,30-045,1992,2.1,0,0,0,1,2,5,0,0,1,0,0,0,2,1,0,100.0
Álvaro Zamora,MF,Costa Rica,20-273,2002,0.3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.0
Ángel Di María,MF,Argentina,34-296,1988,2.4,0,0,0,0,4,4,19,0,1,0,0,0,4,0,0,
Ángelo Preciado,DF,Ecuador,24-292,1998,2.9,0,0,0,8,2,0,8,6,5,0,0,0,10,3,2,60.0
Éder Militão,DF,Brazil,24-323,1998,2.7,1,0,0,5,1,0,1,1,3,0,0,0,18,2,3,40.0
Óscar Duarte,DF,Costa Rica,33-187,1989,3.0,1,0,0,1,0,0,0,6,2,0,1,0,9,2,3,40.0
İlkay Gündoğan,MF,Germany,32-044,1990,2.1,0,0,0,3,2,1,1,1,1,0,0,0,18,3,2,60.0
